こだわりが多いと思う？,2016/5/18,2016/6/6
あっさりしてると思う？,2016/5/18,2016/6/6
都会に住んでいると思う？,2016/5/18,2016/6/6
田舎に住んでいると思う？,2016/5/18,2016/6/6
あなたより年上だと思う？,2016/5/18,2016/6/6
あなたより年下だと思う？,2016/5/18,2016/6/6
あなたとは長い付き合い？,2016/5/18,2016/6/6
あなたとは最近知り合ったばかり？,2016/5/18,2016/6/6
あなたとは定期的に会う？,2016/5/18,2016/6/6
あなたとはあまり会わない？,2016/5/18,2016/6/6
センスがあると思う？,2016/5/18,2016/6/6
上品であると思う？,2016/5/18,2016/6/6
オタクであると思う？,2016/5/18,2016/6/6
太っていると思う？,2016/5/18,2016/6/6
痩せていると思う？,2016/5/18,2016/6/6
スポーツが好きそう？,2016/5/18,2016/6/6
インドア派だと思う？,2016/5/18,2016/6/6
アウトドア派だと思う？,2016/5/18,2016/6/6
朝に強そう？,2016/5/18,2016/6/6
夜型だと思う？,2016/5/18,2016/6/6
仕事をバリバリこなしていそう？,2016/5/18,2016/6/6
お金持ちだと思う？,2016/5/18,2016/6/6
髪が長いと思う？,2016/5/18,2016/6/6
最近疲れていそう？,2016/5/18,2016/6/6
マンションに住んでそう？,2016/5/18,2016/6/6
実家に住んでいそう？,2016/5/18,2016/6/6
一人暮らしだと思う？,2016/6/6,2016/6/6
iPhoneを使っていそう？,2016/5/18,2016/6/6
スマホを使いこなしていそう？,2016/6/6,2016/6/6
ガラケーを使っていそう？,2016/5/18,2016/6/6
周りから人気がありそう？,2016/5/18,2016/6/6
車を持っていそう？,2016/5/18,2016/6/6
ドライブによく行くと思う？,2016/5/18,2016/6/6
よく笑うと思う？,2016/5/18,2016/6/6
クールな雰囲気だと思う？,2016/5/18,2016/6/6
身だしなみに気を使っていそう？,2016/5/18,2016/6/6
手先が器用そう？,2016/5/18,2016/6/6
ライブが好きそう？,2016/5/18,2016/6/6
あなたと会う時は外食が多いと思う？,2016/5/18,2016/6/6
お酒が好きそう？,2016/5/18,2016/6/6
映画が好きそう？,2016/5/18,2016/6/6
本をたくさん読んでいそう？,2016/5/18,2016/6/6
ディズニーが好きそう？,2016/5/18,2016/6/6
アニメが好きそう？,2016/5/18,2016/6/6
甘いものが好きだと思う？,2016/5/18,2016/6/6
辛いものが好きだと思う？,2016/5/18,2016/6/6
ナルシストだと思う？,2016/5/18,2016/6/6
節約家だと思う？,2016/5/18,2016/6/6
英語が話せそう？,2016/5/18,2016/6/6
あなたの家族？,2016/5/18,2016/6/6
あなたの友達？,2016/6/6,2016/6/6
あなたと職場/クラスが同じ？,2016/6/6,2016/6/6
あなたの恋人？,2016/6/6,2016/6/6
モノトーンが好きそう？,2016/5/18,2016/6/6
和食が好きそう？,2016/5/18,2016/6/6
イタリアンが好きそう？,2016/5/18,2016/6/6
フレンチが好きそう？,2016/5/18,2016/6/6
カリスマ性がありそう？,2016/5/18,2016/6/6
地味だと思う？,2016/5/18,2016/6/6
知的だと思う？,2016/5/18,2016/6/6
かわいいと思う？,2016/6/6,2016/6/6
かっこいいと思う？,2016/6/6,2016/6/6
めんどくさがりやだと思う？,2016/5/18,2016/6/6
マメだと思う？,2016/5/18,2016/6/6
せっかちだと思う？,2016/5/18,2016/6/6
おっとりしていると思う？,2016/5/18,2016/6/6
身長が高いと思う？,2016/6/6,2016/6/6
身長が低いと思う？,2016/6/6,2016/6/6
聞き上手だと思う？,2016/6/6,2016/6/6
話が面白いと思う？,2016/6/6,2016/6/6
ストイックだと思う？,2016/6/6,2016/6/6
物知りだと思う？,2016/6/6,2016/6/6
純粋そう？,2016/6/6,2016/6/6
ムードメイカーだと思う？,2016/6/6,2016/6/6
リーダータイプだと思う？,2016/6/6,2016/6/6
モテそう？,2016/6/6,2016/6/6
よく怒っていそう？,2016/6/6,2016/6/6
いつも優しそう？,2016/6/6,2016/6/6
裏表がないと思う？,2016/6/6,2016/6/6
腹黒いかもしれない？,2016/6/6,2016/6/6
頼りになると思う？,2016/6/6,2016/6/6
お酒が好きそう？,2016/6/6,2016/6/6
カラオケが好きだと思う？,2016/6/6,2016/6/6
謙虚だと思う？,2016/6/6,2016/6/6
お調子者だと思う？,2016/6/6,2016/6/6
いつも一緒にいると疲れそう？,2016/6/6,2016/6/6
一緒にいると楽だと思う？,2016/6/6,2016/6/6
